timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1633938114.617,0.000,0.000,0.000,-0.488,0.000
1633938114.621,0.000,0.000,0.000,-0.488,0.000
1633938114.625,-32.227,-32.227,-32.227,30.762,0.000
1633938114.629,64.453,67.383,68.848,-67.871,0.000
1633938114.632,-327.637,-382.324,-333.008,320.312,0.000
1633938114.636,-1000.000,-996.094,-1000.000,-861.328,0.000
1633938114.640,-311.523,-1000.000,-217.773,191.406,0.000
1633938114.644,955.078,-37.598,977.539,-1000.000,0.000
1633938114.648,-911.621,-776.367,-925.781,-1000.000,0.000
1633938114.652,226.562,142.090,374.512,-57.129,0.000
1633938114.656,-1000.000,-1000.000,-1000.000,-782.227,0.000
1633938114.659,-482.910,-1000.000,-529.785,219.727,0.000
1633938114.663,868.164,-229.980,860.840,-994.629,0.000,0
1633938114.667,-883.301,-822.754,-887.207,-1000.000,0.000,0
1633938114.671,397.949,166.504,471.191,-261.719,0.000,0
1633938114.674,-1000.000,-1000.000,-1000.000,-838.867,0.000,0
1633938114.678,-738.281,-1000.000,-696.289,433.594,0.000,0
1633938114.682,674.805,-257.324,762.695,-925.293,0.000,0
1633938114.686,-854.004,-829.590,-923.340,-1000.000,0.000,0
1633938114.690,541.504,188.477,750.977,-239.258,0.000,0
1633938114.694,-894.043,-1000.000,-660.645,-882.812,0.000,0
1633938114.697,-1000.000,-1000.000,-993.652,661.133,0.000,0
1633938114.701,373.047,-265.137,500.488,-731.934,0.000,0
1633938114.705,-874.023,-833.008,-943.359,-1000.000,0.000,0
1633938114.710,781.250,375.977,942.871,-201.660,0.000,0
1633938114.714,-538.086,-941.895,-235.352,-952.148,0.000,0
1633938114.718,-1000.000,-1000.000,-1000.000,891.602,0.000,0
1633938114.722,125.488,-419.434,105.957,-392.578,0.000,0
1633938114.726,-931.152,-925.781,-949.219,-1000.000,0.000,0
1633938114.729,989.258,589.355,998.535,-371.582,0.000,0
1633938114.733,-171.875,-827.637,-58.594,926.270,0.000,0
1633938114.737,-1000.000,-1000.000,-1000.000,-938.477,0.000,0
1633938114.741,-68.359,-566.406,-141.602,-106.934,0.000,0
1633938114.745,-979.492,904.297,-991.699,-1000.000,0.000,0
1633938114.749,-947.266,883.789,-953.613,-550.293,0.000,0
1633938114.753,26.367,-543.945,46.875,807.617,0.000,0
1633938114.761,-1000.000,-1000.000,-1000.000,-863.770,0.000,0
1633938114.765,-176.758,-788.086,-191.406,62.012,0.000,0
1633938114.769,987.305,554.688,992.188,-1000.000,0.000,0
1633938114.773,-914.062,-862.305,-934.570,-833.984,0.000,0
1633938114.777,222.656,-234.863,156.738,488.770,0.000,0
1633938114.781,-1000.000,-1000.000,-1000.000,-795.898,0.000,0
1633938114.785,-203.613,-996.094,-209.961,146.484,0.000,0
1633938114.789,-997.559,189.941,996.582,-1000.000,0.000,0
1633938114.793,-923.340,-779.785,-945.312,-1000.000,0.000,0
1633938114.797,229.004,-44.922,186.035,139.648,0.000,0
1633938114.801,-1000.000,-1000.000,-1000.000,-765.625,0.000,0
1633938114.805,-303.223,-1000.000,-422.363,137.207,0.000,0
1633938114.817,968.750,-40.039,894.531,-1000.000,0.000,0
1633938114.822,-915.527,-775.879,-908.691,-1000.000,0.000,0
1633938114.826,226.562,142.090,297.852,-63.477,0.000,0
1633938114.830,-1000.000,-1000.000,-1000.000,-783.203,0.000,0
1633938114.834,-482.910,-1000.000,-600.586,231.445,0.000,0
1633938114.838,868.164,-231.934,793.457,-991.699,0.000,0
1633938114.842,-882.324,-823.730,-881.836,-1000.000,0.000,0
1633938114.847,398.438,166.992,379.883,-260.742,0.000,0
1633938114.851,-1000.000,-1000.000,-1000.000,-839.844,0.000,0
1633938114.855,-738.281,-1000.000,-769.531,445.801,0.000,0
1633938114.859,674.805,-257.324,638.672,-919.434,0.000,0
1633938114.863,-854.004,-829.590,-885.742,-1000.000,0.000,0
1633938114.878,541.504,193.359,585.938,-237.305,0.000,0
1633938114.883,-894.531,-1000.000,-790.039,-887.695,0.000,0
1633938114.887,-1000.000,-1000.000,-1000.000,679.688,0.000,0
1633938114.891,373.047,-264.648,386.719,-735.840,0.000,0
1633938114.896,-874.023,-833.496,-936.035,-1000.000,0.000,0
1633938114.900,780.762,379.883,892.578,-127.441,0.000,0
1633938114.904,-538.086,-939.941,-256.348,-972.656,0.000,0
1633938114.909,-1000.000,-1000.000,-1000.000,908.691,0.000,0
1633938114.913,125.488,-420.898,-33.691,-368.164,0.000,0
1633938114.917,-931.152,-928.711,-975.098,-1000.000,0.000,0
1633938114.922,988.770,598.145,997.070,-393.555,0.000,0
1633938114.926,-171.875,-818.359,-74.219,912.109,0.000,0
1633938114.943,-1000.000,-1000.000,-1000.000,-929.688,0.000,0
1633938114.947,-68.848,-567.383,-156.250,-96.191,0.000,0
1633938114.952,-986.816,896.973,994.629,-1000.000,0.000,0
1633938114.956,-924.805,901.855,-943.359,-619.629,0.000,0
1633938114.961,-27.832,-554.199,-33.691,811.523,0.000,0
1633938114.965,-1000.000,-1000.000,-1000.000,-998.535,0.000,0
1633938114.970,101.074,-672.363,84.961,-208.008,0.000,0
1633938114.974,965.820,545.410,968.262,-1000.000,0.000,0
1633938114.979,-919.434,-864.746,-946.777,-854.004,0.000,1
1633938114.983,232.422,-225.098,156.738,442.871,0.000,0
1633938114.988,-1000.000,-1000.000,-1000.000,-791.504,0.000,0
1633938114.992,-204.102,-1000.000,-213.867,144.043,0.000,0
1633938115.010,-998.047,180.176,994.141,-1000.000,0.000,0
1633938115.014,-923.828,-777.832,-951.172,-1000.000,0.000,0
1633938115.019,229.004,-35.645,177.734,108.887,0.000,0
1633938115.024,-1000.000,-1000.000,-1000.000,-767.090,0.000,0
1633938115.028,-303.223,-1000.000,-443.359,138.184,0.000,0
1633938115.033,966.797,-41.504,879.883,-1000.000,0.000,0
1633938115.038,-908.203,-776.367,-904.297,-1000.000,0.000,0
1633938115.042,208.496,142.090,281.738,-70.801,0.000,0
1633938115.047,-1000.000,-1000.000,-1000.000,-843.750,0.000,0
1633938115.052,-395.020,-1000.000,-544.922,157.715,0.000,0
1633938115.056,857.422,-233.398,778.809,-979.004,0.000,0
1633938115.061,-882.812,-823.730,-884.766,-1000.000,0.000,0
1633938115.079,400.391,166.992,373.047,-262.695,0.000,0
1633938115.084,-1000.000,-1000.000,-1000.000,-840.820,0.000,0
1633938115.089,-738.281,-1000.000,-774.902,456.543,0.000,0
1633938115.093,674.805,-257.812,629.395,-913.574,0.000,0
1633938115.098,-854.004,-829.590,-884.277,-1000.000,0.000,0
1633938115.103,541.504,200.684,582.031,-235.840,0.000,0
1633938115.108,-894.043,-1000.000,-792.480,-889.160,0.000,0
1633938115.113,-1000.000,-1000.000,-1000.000,684.082,0.000,0
1633938115.117,373.047,-264.648,386.230,-701.660,0.000,0
1633938115.122,-874.023,-834.473,-939.453,-1000.000,0.000,0
1633938115.127,781.250,389.160,889.160,-242.188,0.000,0
1633938115.132,-538.086,-935.059,-245.117,-972.168,0.000,0
1633938115.142,-1000.000,-1000.000,-1000.000,916.016,0.000,0
1633938115.147,125.488,-423.828,-59.082,-366.211,0.000,0
1633938115.152,-931.152,-934.570,-980.957,-1000.000,0.000,0
1633938115.157,989.258,613.281,998.047,-409.668,0.000,0
1633938115.162,-171.875,-803.223,-71.289,903.809,0.000,0
1633938115.166,-1000.000,-1000.000,-1000.000,-926.270,0.000,0
1633938115.171,-68.848,-569.824,-162.109,-97.168,0.000,0
1633938115.176,-979.492,894.531,999.023,-1000.000,0.000,0
1633938115.181,-947.266,903.320,-968.262,-602.539,0.000,0
1633938115.186,26.367,-517.578,18.555,751.465,0.000,0
1633938115.191,-1000.000,-1000.000,-1000.000,-851.074,0.000,0
1633938115.196,-176.270,-795.898,-193.359,65.430,0.000,0
1633938115.200,987.305,541.504,989.746,-1000.000,0.000,0
