timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1634634568.985,-0.488,-0.488,0.000,0.000,0.000,0
1634634568.989,-0.488,-0.488,-12.207,0.000,0.000,0
1634634568.993,30.762,30.762,35.156,-32.227,0.000,0
1634634568.997,-67.871,-55.664,-46.387,67.871,0.000,0
1634634569.001,383.789,333.008,59.570,-332.031,0.000,0
1634634569.005,928.223,-956.543,728.027,-1000.000,0.000,0
1634634569.008,-861.816,858.887,946.777,-240.723,0.000,0
1634634569.012,155.762,-475.586,308.105,979.492,0.000,0
1634634569.016,-1000.000,-1000.000,-291.016,-919.434,0.000,0
1634634569.020,386.230,-119.629,317.383,230.957,0.000,0
1634634569.024,-946.289,-975.098,801.758,-1000.000,0.000,0
1634634569.028,-949.219,-984.863,812.500,-399.902,0.000,0
1634634569.031,225.098,-158.203,204.102,927.246,0.000,0
1634634569.035,-1000.000,-1000.000,-796.875,-899.902,0.000,0
1634634569.039,102.539,-171.387,-76.660,218.750,0.000,0
1634634569.043,-938.477,993.652,720.703,-1000.000,0.000,0
1634634569.047,-950.195,-930.176,731.934,-575.684,0.000,0
1634634569.050,235.352,39.551,128.906,816.406,0.000,0
1634634569.054,-1000.000,-1000.000,-980.469,-858.887,0.000,0
1634634569.058,-88.379,-179.688,-209.473,283.203,0.000,0
1634634569.062,-980.469,990.234,630.371,-1000.000,0.000,0
1634634569.066,-935.547,-919.922,672.852,-848.145,0.000,0
1634634569.070,426.758,217.285,100.098,503.418,0.000,0
1634634569.073,-1000.000,-1000.000,-929.688,-811.523,0.000,0
1634634569.078,-222.168,-305.176,-393.066,436.523,0.000,0
1634634569.082,-993.652,966.309,414.062,-918.945,0.000,0
1634634569.086,-942.871,-913.574,660.645,-1000.000,0.000,0
1634634569.090,599.609,226.562,148.926,172.363,0.000,0
1634634569.094,-1000.000,-1000.000,-904.297,-824.219,0.000,0
1634634569.098,-261.230,-487.305,-616.211,652.832,0.000,0
1634634569.102,-958.984,880.371,301.758,-695.312,0.000,0
1634634569.105,986.328,-881.836,629.883,-1000.000,0.000,0
1634634569.109,863.770,215.820,184.570,6.348,0.000,0
1634634569.113,-708.008,-1000.000,-794.434,-912.598,0.000,0
1634634569.117,-321.289,-698.730,-762.207,896.973,0.000,0
1634634569.121,-922.852,678.223,157.227,-352.539,0.000,0
1634634569.129,913.086,-833.496,549.316,-1000.000,0.000,0
1634634569.133,-920.410,346.191,178.223,-173.340,0.000,0
1634634569.137,-358.398,-1000.000,-662.109,-1000.000,0.000,0
1634634569.141,-552.246,-954.102,-906.250,-951.660,0.000,0
1634634569.145,-989.258,366.211,-60.059,-83.496,0.000,0
1634634569.150,927.734,-803.223,461.914,-1000.000,0.000,0
1634634569.154,-890.625,493.652,275.879,-171.387,0.000,0
1634634569.158,-156.738,-871.582,-440.918,989.258,0.000,0
1634634569.162,-719.238,-1000.000,-1000.000,-919.434,0.000,0
1634634569.166,901.367,107.910,-175.781,121.582,0.000,0
1634634569.170,959.961,-853.516,469.727,-1000.000,0.000,0
1634634569.174,-904.785,741.211,216.309,-188.965,0.000,0
1634634569.186,83.008,-580.078,-436.523,995.605,0.000,0
1634634569.190,-951.172,-1000.000,-1000.000,-924.316,0.000,0
1634634569.194,569.336,-52.246,-251.465,231.934,0.000,0
1634634569.198,-973.145,-944.336,458.496,-1000.000,0.000,0
1634634569.202,-939.941,965.332,244.141,-380.371,0.000,0
1634634569.207,215.332,-245.117,-339.355,935.547,0.000,0
1634634569.211,-1000.000,-1000.000,-1000.000,-902.344,0.000,0
1634634569.215,204.102,-171.387,-336.426,220.703,0.000,0
1634634569.219,-932.617,997.070,389.160,-1000.000,0.000,0
1634634569.223,-952.148,-940.430,252.441,-539.551,0.000,0
1634634569.228,231.445,-24.902,-254.883,841.797,0.000,0
1634634569.232,-1000.000,-1000.000,-1000.000,-868.164,0.000,0
1634634569.247,5.371,-174.316,-539.551,267.090,0.000,0
1634634569.251,-958.008,988.770,316.895,-1000.000,0.000,0
1634634569.255,-944.336,-918.457,430.664,-782.227,0.000,0
1634634569.260,337.402,179.688,-156.250,585.938,0.000,0
1634634569.264,-1000.000,-1000.000,-1000.000,-822.754,0.000,0
1634634569.268,-207.031,-240.723,-643.555,401.367,0.000,0
1634634569.273,998.047,984.375,164.062,-968.750,0.000,0
1634634569.277,-929.688,-920.410,413.574,-1000.000,0.000,0
1634634569.281,511.230,230.469,-90.820,301.758,0.000,0
1634634569.286,-1000.000,-1000.000,-1000.000,-809.570,0.000,0
1634634569.290,-240.723,-430.176,-725.586,550.293,0.000,0
1634634569.295,-977.051,911.621,112.793,-819.336,0.000,0
1634634569.311,-977.539,-893.555,466.309,-1000.000,0.000,0
1634634569.316,738.770,214.355,-46.387,90.820,0.000,0
1634634569.320,-871.582,-1000.000,-1000.000,-867.188,0.000,0
1634634569.325,-292.969,-608.887,-808.594,787.109,0.000,0
1634634569.329,-939.453,777.832,24.902,-545.898,0.000,0
1634634569.334,943.848,-852.539,429.199,-1000.000,0.000,0
1634634569.338,985.352,304.199,13.184,8.789,0.000,0
1634634569.343,-534.180,-1000.000,-837.402,-974.121,0.000,0
1634634569.347,-525.391,-867.676,-889.648,-993.164,0.000,0
1634634569.352,-984.375,481.934,-8.301,-175.293,0.000,0
1634634569.356,928.223,-811.523,447.266,-1000.000,0.000,0
1634634569.361,-902.344,448.242,47.363,-169.922,0.000,0
1634634569.388,-230.469,-910.645,-708.984,993.652,0.000,0
1634634569.393,-694.824,-1000.000,-1000.000,-932.617,0.000,0
1634634569.398,919.434,165.527,-209.961,19.043,0.000,0
1634634569.403,968.262,-811.035,414.551,-1000.000,0.000,0
1634634569.408,-951.172,611.328,103.027,-176.270,0.000,0
1634634569.412,-66.895,-760.254,-573.730,987.793,0.000,0
1634634569.417,-848.633,-1000.000,-1000.000,-918.945,0.000,0
1634634569.422,705.078,12.695,-270.996,229.004,0.000,0
1634634569.427,998.047,-910.645,416.992,-1000.000,0.000,0
1634634569.432,-922.363,887.695,179.688,-303.223,0.000,0
1634634569.436,183.594,-362.305,-420.898,969.238,0.000,0
1634634569.441,-1000.000,-1000.000,-1000.000,-914.551,0.000,0
1634634569.459,386.719,-163.574,-321.289,227.051,0.000,0
1634634569.464,-946.289,-994.141,395.508,-1000.000,0.000,0
1634634569.469,-949.219,-958.984,192.871,-492.676,0.000,0
1634634569.474,225.098,-101.562,-337.891,878.906,0.000,0
1634634569.479,-1000.000,-1000.000,-1000.000,-880.859,0.000,0
1634634569.484,104.492,-172.363,-452.148,202.148,0.000,0
1634634569.489,-940.918,991.211,308.594,-1000.000,0.000,0
1634634569.494,-950.195,-923.340,292.480,-710.449,0.000,0
1634634569.499,274.414,90.332,-227.051,660.645,0.000,0
1634634569.504,-1000.000,-1000.000,-1000.000,-830.566,0.000,0
1634634569.509,-99.121,-185.059,-635.254,362.305,0.000,0
1634634569.514,-978.516,993.164,183.594,-1000.000,0.000,0
1634634569.524,-936.035,-922.852,410.645,-958.984,0.000,0
1634634569.529,433.105,231.934,-119.629,363.770,0.000,0
1634634569.534,-1000.000,-1000.000,-1000.000,-806.641,0.000,0
1634634569.539,-223.633,-366.699,-701.660,518.555,0.000,0
1634634569.544,-993.164,941.895,125.000,-854.980,0.000,0
1634634569.549,-943.359,-904.297,464.844,-1000.000,0.000,0
1634634569.554,599.609,221.680,-43.945,105.957,0.000,0
1634634569.559,-1000.000,-1000.000,-1000.000,-860.840,0.000,0
1634634569.564,-260.742,-540.039,-772.461,763.184,0.000,0
1634634569.569,-958.496,843.262,64.941,-554.199,0.000,0
1634634569.574,980.957,-868.652,435.547,-1000.000,0.000,0
1634634569.579,870.117,249.512,95.215,-38.086,0.000,0
1634634569.583,-709.961,-1000.000,-812.500,-943.359,0.000,0
1634634569.588,-420.898,-776.855,-893.555,968.262,0.000,0
