timestamps,TP9,AF7,AF8,TP10,Right AUX
1637814692.319,-0.488,-0.488,-0.488,0.000,0.000
1637814692.323,-0.488,-0.488,-11.230,0.000,0.000
1637814692.327,43.945,45.898,33.203,-42.480,0.000
1637814692.331,-143.066,-140.625,-41.016,143.066,0.000
1637814692.335,505.859,482.910,52.246,-529.785,0.000
1637814692.339,581.055,687.012,778.809,-519.531,0.000
1637814692.342,-1000.000,-1000.000,884.277,-889.160,0.000
1637814692.346,-376.465,-574.707,811.035,267.578,0.000
1637814692.350,982.910,913.574,933.594,-1000.000,0.000
1637814692.354,-971.191,-973.145,917.480,-1000.000,0.000
1637814692.358,740.723,838.379,947.754,-636.230,0.000
1637814692.362,-856.934,-640.137,579.102,984.863,0.000
1637814692.365,-603.027,-848.633,548.340,473.145,0.000,0
1637814692.369,919.922,717.773,919.922,-971.680,0.000,0
1637814692.373,-999.023,-978.027,883.301,-1000.000,0.000,0
1637814692.377,931.152,992.676,978.027,-873.047,0.000,0
1637814692.381,-517.090,-281.738,345.703,666.504,0.000,0
1637814692.384,-851.074,-1000.000,41.016,678.711,0.000,0
1637814692.388,769.531,477.539,824.707,-915.039,0.000,0
1637814692.392,-993.164,-963.379,876.953,-1000.000,0.000,0
1637814692.396,-976.562,-967.285,980.957,-1000.000,0.000,0
1637814692.400,-141.602,2.930,145.020,257.324,0.000,0
1637814692.404,-1000.000,-1000.000,-653.809,962.402,0.000,0
1637814692.407,321.289,113.770,468.750,-625.000,0.000,0
1637814692.412,-947.754,-953.613,893.066,-1000.000,0.000,0
1637814692.416,-960.938,-947.266,924.316,-1000.000,0.000,0
1637814692.420,53.711,187.500,107.910,-11.230,0.000,0
1637814692.424,-1000.000,-1000.000,-910.156,-839.844,0.000,0
1637814692.428,83.496,-105.957,97.656,-265.137,0.000,0
1637814692.432,-957.031,-978.516,819.336,-1000.000,0.000,0
1637814692.436,-943.359,-929.199,888.184,-1000.000,0.000,0
1637814692.439,234.863,229.492,100.098,-212.402,0.000,0
1637814692.443,-1000.000,-1000.000,-1000.000,-830.566,0.000,0
1637814692.447,-124.023,-203.125,-163.574,-41.016,0.000,0
