timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1638713731.323,-116.699,-62.500,-81.055,-218.750,0.000,0
1638713731.327,84.473,-54.688,-77.148,-114.258,0.000,0
1638713731.331,89.355,-49.805,-81.055,-119.629,0.000,0
1638713731.335,-121.582,-53.223,-82.520,-230.469,0.000,0
1638713731.339,-245.605,-55.664,-77.148,-282.227,0.000,0
1638713731.343,-119.629,-67.871,-81.055,-203.613,0.000,0
1638713731.347,90.820,-74.707,-85.938,-104.004,0.000,0
1638713731.351,103.516,-66.895,-86.914,-99.121,0.000,0
1638713731.355,-108.398,-62.012,-85.449,-203.125,0.000,0
1638713731.359,-259.766,-55.664,-84.473,-292.480,0.000,0
1638713731.363,-153.809,-51.758,-80.566,-241.211,0.000,0
1638713731.367,97.168,-67.871,-54.199,-79.590,0.000,0
1638713731.377,126.953,-71.777,-74.219,-69.824,0.000,0
1638713731.381,-97.168,-56.152,-97.168,-212.402,0.000,0
1638713731.385,-248.535,-50.781,-78.125,-287.109,0.000,0
1638713731.389,-177.246,-51.758,-74.707,-244.629,0.000,0
1638713731.394,58.594,-38.086,-71.777,-128.418,0.000,0
1638713731.398,146.973,-31.250,-61.035,-79.590,0.000,0
1638713731.402,-21.973,-39.062,-53.223,-151.855,0.000,0
1638713731.406,-207.031,-39.062,-60.059,-259.766,0.000,0
1638713731.411,-172.363,-26.367,-57.129,-247.070,0.000,0
1638713731.415,64.453,-13.184,-39.062,-111.328,0.000,0
1638713731.419,177.246,-8.789,-41.992,-48.828,0.000,0
1638713731.423,43.945,6.348,-33.691,-115.723,0.000,0
1638713731.438,-158.203,3.418,-25.879,-217.285,0.000,0
1638713731.443,-167.480,-5.371,-25.391,-216.797,0.000,0
1638713731.448,49.805,1.953,-23.438,-100.586,0.000,0
1638713731.452,172.363,-2.441,-43.945,-44.434,0.000,0
1638713731.457,36.133,-13.672,-59.570,-121.582,0.000,0
1638713731.461,-164.062,-15.625,-48.828,-222.656,0.000,0
1638713731.466,-187.012,-20.020,-50.781,-234.863,0.000,0
1638713731.470,-12.207,-34.180,-75.684,-157.715,0.000,0
1638713731.475,135.742,-41.992,-80.566,-80.078,0.000,0
1638713731.479,43.457,-37.109,-71.777,-119.629,0.000,0
1638713731.484,-169.922,-34.668,-68.848,-227.539,0.000,0
1638713731.488,-219.727,-35.645,-65.430,-258.301,0.000,0
1638713731.507,-25.879,-34.668,-60.547,-166.504,0.000,0
1638713731.512,143.555,-34.668,-67.871,-76.660,0.000,0
1638713731.516,54.688,-35.645,-71.777,-122.559,0.000,0
1638713731.521,-162.598,-40.527,-69.336,-229.980,0.000,0
1638713731.526,-232.422,-45.898,-70.312,-266.602,0.000,0
1638713731.531,-72.754,-56.152,-67.383,-189.453,0.000,0
1638713731.536,115.723,-53.223,-67.871,-85.938,0.000,0
1638713731.541,91.797,-51.270,-71.777,-95.703,0.000,0
1638713731.545,-134.766,-52.734,-81.055,-219.238,0.000,0
1638713731.550,-250.000,-49.316,-76.172,-274.414,0.000,0
1638713731.555,-93.262,-50.293,-62.500,-194.824,0.000,0
1638713731.560,108.887,-44.922,-61.523,-91.309,0.000,0
1638713731.579,95.215,-38.086,-77.637,-93.262,0.000,0
1638713731.584,-80.566,-43.945,-57.129,-173.828,0.000,0
1638713731.589,-222.168,-68.848,-56.152,-249.023,0.000,0
1638713731.594,-147.461,-73.242,-91.797,-231.445,0.000,0
1638713731.599,75.195,-58.594,-85.938,-124.512,0.000,0
1638713731.604,102.539,-51.270,-77.148,-86.426,0.000,0
1638713731.610,-99.609,-49.316,-73.242,-180.176,0.000,0
1638713731.615,-253.906,-52.734,-74.707,-284.180,0.000,0
1638713731.620,-158.691,-46.387,-69.824,-234.375,0.000,0
1638713731.625,53.223,-40.039,-72.266,-120.117,0.000,0
1638713731.630,109.375,-42.969,-82.031,-89.844,0.000,0
1638713731.635,-70.801,-48.828,-86.426,-177.734,0.000,0
1638713731.655,-243.164,-50.781,-80.078,-270.508,0.000,0
1638713731.660,-175.293,-43.457,-72.266,-241.699,0.000,0
1638713731.665,33.691,-42.969,-76.172,-130.371,0.000,0
1638713731.670,115.723,-48.340,-84.961,-87.402,0.000,0
1638713731.676,-37.109,-48.340,-75.684,-166.504,0.000,0
1638713731.681,-212.402,-52.734,-62.500,-260.254,0.000,0
1638713731.686,-183.105,-56.152,-70.312,-249.512,0.000,0
1638713731.691,6.348,-49.316,-78.125,-140.625,0.000,0
1638713731.697,129.395,-35.645,-65.918,-62.500,0.000,0
1638713731.702,5.859,-40.039,-62.012,-126.953,0.000,0
1638713731.707,-217.285,-48.828,-86.426,-265.137,0.000,0
1638713731.713,-219.238,-40.039,-84.473,-270.020,0.000,0
1638713731.731,-18.555,-32.715,-67.383,-152.832,0.000,0
1638713731.737,121.094,-26.855,-63.965,-71.289,0.000,0
1638713731.742,21.973,-25.391,-66.406,-117.676,0.000,0
1638713731.748,-184.082,-24.414,-60.547,-230.469,0.000,0
1638713731.753,-202.637,-23.926,-63.477,-238.770,0.000,0
1638713731.759,-11.719,-26.855,-71.777,-139.648,0.000,0
1638713731.764,121.094,-27.832,-76.660,-75.195,0.000,0
1638713731.770,32.227,-26.367,-74.707,-116.699,0.000,0
1638713731.775,-163.086,-23.438,-69.824,-214.844,0.000,0
1638713731.780,-204.590,-20.996,-57.617,-236.816,0.000,0
1638713731.786,-47.363,-21.973,-60.059,-152.344,0.000,0
1638713731.791,109.375,-15.625,-68.359,-63.965,0.000,0
1638713731.801,68.359,-9.277,-63.477,-87.891,0.000,0
1638713731.807,-131.348,-14.160,-54.199,-200.195,0.000,0
1638713731.812,-227.051,-14.648,-44.922,-234.375,0.000,0
1638713731.818,-72.266,-12.695,-46.875,-150.879,0.000,0
1638713731.823,147.461,-20.020,-34.668,-32.227,0.000,0
1638713731.829,101.562,-24.414,-49.805,-58.594,0.000,0
1638713731.834,-114.746,-20.508,-64.453,-203.125,0.000,0
1638713731.840,-220.215,-20.020,-61.523,-274.414,0.000,0
1638713731.845,-110.840,-20.996,-70.312,-213.379,0.000,0
1638713731.851,107.910,-12.207,-62.500,-81.055,0.000,0
1638713731.856,132.324,-0.977,-56.152,-62.500,0.000,0
1638713731.862,-76.660,-4.395,-62.988,-182.617,0.000,0
1638713731.864,-221.191,-8.301,-56.641,-246.094,0.000,1
1638713731.870,-112.793,-5.371,-53.711,-191.895,0.000,0
1638713731.875,85.449,-9.277,-65.918,-102.051,0.000,0
1638713731.881,117.188,-10.742,-65.430,-70.801,0.000,0
1638713731.886,-76.660,-15.137,-65.918,-167.480,0.000,0
1638713731.892,-229.004,-13.672,-59.570,-244.141,0.000,0
1638713731.897,-160.156,-10.742,-62.988,-201.660,0.000,0
1638713731.903,31.738,-10.742,-72.266,-114.258,0.000,0
1638713731.908,105.957,-14.648,-74.219,-77.148,0.000,0
1638713731.914,-58.105,-17.578,-67.383,-158.203,0.000,0
1638713731.919,-228.516,-19.043,-63.965,-258.789,0.000,0
1638713731.925,-152.832,-27.344,-42.969,-198.242,0.000,0
1638713731.923,34.668,-37.598,-53.711,-96.680,0.000,0
1638713731.929,103.516,-29.785,-84.961,-84.961,0.000,0
1638713731.934,-41.504,-25.391,-70.312,-154.785,0.000,0
1638713731.939,-237.305,-39.062,-64.941,-256.836,0.000,0
1638713731.945,-199.219,-45.410,-68.848,-240.234,0.000,0
1638713731.950,24.414,-39.551,-69.336,-135.254,0.000,0
1638713731.956,141.113,-37.109,-70.801,-71.777,0.000,0
1638713731.961,-11.230,-42.480,-76.172,-142.090,0.000,0
1638713731.966,-225.586,-50.293,-79.102,-268.066,0.000,0
1638713731.972,-232.422,-47.852,-80.078,-271.484,0.000,0
1638713731.977,-28.809,-42.969,-72.754,-162.109,0.000,0
1638713731.983,124.023,-41.992,-66.895,-82.520,0.000,0
1638713731.976,24.414,-36.621,-65.918,-123.535,0.000,0
1638713731.982,-195.801,-37.109,-63.477,-245.117,0.000,0
1638713731.987,-233.887,-44.922,-67.383,-279.297,0.000,0
1638713731.992,-53.711,-49.805,-78.613,-182.617,0.000,0
1638713731.998,100.586,-42.969,-79.590,-93.750,0.000,0
1638713732.003,43.457,-41.992,-65.430,-120.605,0.000,0
1638713732.008,-146.484,-51.270,-46.387,-207.031,0.000,0
1638713732.014,-241.211,-43.457,-60.059,-266.602,0.000,0
1638713732.019,-96.191,-36.621,-76.172,-213.379,0.000,0
1638713732.024,98.633,-51.270,-74.219,-109.375,0.000,0
1638713732.030,56.641,-55.664,-81.543,-118.164,0.000,0
1638713732.035,-141.602,-50.293,-77.637,-224.121,0.000,0
1638713732.025,-228.516,-47.852,-70.312,-283.203,0.000,0
1638713732.030,-83.496,-39.062,-63.965,-195.801,0.000,0
1638713732.035,109.375,-43.457,-70.801,-93.750,0.000,0
1638713732.040,99.121,-44.922,-71.777,-115.234,0.000,0
1638713732.045,-103.516,-48.340,-63.477,-216.797,0.000,0
1638713732.051,-226.562,-59.570,-65.430,-276.855,0.000,0
1638713732.056,-104.004,-51.270,-67.383,-222.168,0.000,0
1638713732.061,109.375,-45.410,-71.289,-106.934,0.000,0
1638713732.066,108.887,-43.457,-75.195,-95.215,0.000,0
1638713732.071,-85.938,-38.574,-72.266,-208.008,0.000,0
1638713732.077,-216.309,-46.875,-79.102,-290.039,0.000,0
1638713732.082,-120.605,-41.504,-76.660,-240.723,0.000,0
1638713732.069,96.191,-19.531,-70.312,-127.930,0.000,0
1638713732.074,166.504,-12.695,-47.363,-78.613,0.000,0
1638713732.079,-10.742,-28.809,-38.086,-158.691,0.000,0
1638713732.084,-223.145,-42.969,-85.449,-299.316,0.000,0
1638713732.089,-147.949,-30.762,-87.402,-272.461,0.000,0
1638713732.094,87.402,-28.809,-64.941,-129.395,0.000,0
1638713732.099,151.855,-36.133,-74.707,-99.121,0.000,0
1638713732.104,-37.598,-41.016,-84.473,-207.031,0.000,0
1638713732.109,-217.773,-43.457,-76.172,-288.574,0.000,0
1638713732.114,-165.039,-46.875,-72.266,-257.324,0.000,0
1638713732.119,58.105,-44.922,-68.359,-142.578,0.000,0
1638713732.125,143.555,-42.969,-71.289,-97.656,0.000,0
1638713732.110,-16.602,-44.922,-72.266,-179.199,0.000,0
1638713732.115,-194.336,-46.875,-64.941,-268.066,0.000,0
1638713732.120,-194.336,-46.875,-74.219,-275.879,0.000,0
1638713732.125,17.578,-42.969,-81.055,-178.223,0.000,0
1638713732.130,148.926,-43.945,-75.195,-100.586,0.000,0
1638713732.135,33.203,-52.734,-71.289,-149.414,0.000,0
1638713732.140,-180.176,-53.711,-77.637,-266.113,0.000,0
