timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1644798901.524,-18.555,-579.590,-32.715,-37.109,0.000,0
1644798901.528,-16.113,-239.258,-29.785,-33.203,0.000,0
1644798901.531,-32.715,-244.629,-31.738,-25.391,0.000,0
1644798901.535,-41.016,-625.977,-37.598,-3.418,0.000,0
1644798901.539,-34.180,-930.176,-36.133,-14.160,0.000,0
1644798901.543,-26.367,-908.203,-33.691,-30.273,0.000,0
1644798901.547,-22.461,-689.941,-36.133,-20.996,0.000,0
1644798901.551,-22.461,-500.977,-38.574,-16.113,0.000,0
1644798901.554,-28.320,-624.512,-42.480,-19.043,0.000,0
1644798901.558,-38.086,-869.629,-46.875,-41.504,0.000,0
1644798901.562,-43.945,-626.465,-43.945,-56.641,0.000,0
1644798901.566,-34.668,-772.949,-45.410,-31.738,0.000,0
1644798901.571,-35.645,-836.426,-47.363,-23.926,0.000,0
1644798901.575,-47.363,-550.781,-41.016,-38.574,0.000,0
1644798901.579,-47.852,-787.109,-36.621,-41.992,0.000,0
1644798901.582,-41.504,-638.184,-37.598,-40.039,0.000,0
1644798901.586,-38.086,-232.422,-37.598,-36.133,0.000,0
1644798901.590,-26.367,-283.203,-35.645,-29.785,0.000,0
1644798901.594,-31.738,-686.523,-39.062,-31.738,0.000,0
1644798901.598,-45.898,-974.609,-43.457,-46.875,0.000,0
1644798901.602,-35.156,-684.082,-40.527,-55.176,0.000,0
1644798901.606,-25.879,-307.129,-39.551,-39.551,0.000,0
1644798901.610,-30.762,-209.961,-41.504,-15.137,0.000,0
1644798901.613,-39.062,-224.609,-37.598,-7.812,0.000,0
1644798901.622,-51.758,-555.176,-34.668,-29.785,0.000,0
1644798901.626,-50.293,-562.988,-37.598,-51.758,0.000,0
1644798901.630,-39.551,-177.246,-41.992,-40.039,0.000,0
1644798901.634,-33.691,61.035,-37.598,-25.391,0.000,0
1644798901.638,-31.250,-229.492,-33.691,-22.461,0.000,0
1644798901.642,-36.621,-808.594,-32.715,-24.902,0.000,0
1644798901.646,-33.691,-1000.000,-36.621,-36.133,0.000,0
1644798901.650,-18.555,-809.570,-37.598,-33.203,0.000,0
1644798901.654,-14.160,-136.719,-36.621,-27.344,0.000,0
1644798901.658,-31.250,-20.996,-44.434,-37.598,0.000,0
1644798901.662,-44.434,-477.539,-43.945,-36.133,0.000,0
1644798901.666,-36.133,-584.473,-37.598,-13.672,0.000,0
1644798901.678,-29.297,-340.820,-33.203,-9.766,0.000,0
1644798901.682,-30.273,-93.262,-38.086,-12.695,0.000,0
1644798901.686,-35.645,-22.949,-46.387,-3.418,0.000,0
1644798901.691,-39.551,-380.371,-49.316,-21.973,0.000,0
1644798901.695,-32.715,-646.484,-44.922,-41.504,0.000,0
1644798901.699,-26.855,-500.977,-39.551,-33.203,0.000,0
1644798901.703,-29.297,-293.945,-41.016,-28.809,0.000,0
1644798901.707,-30.273,-342.773,-38.086,-32.715,0.000,0
1644798901.711,-46.387,-510.742,-35.645,-32.715,0.000,0
1644798901.716,-45.898,-760.254,-32.227,-37.598,0.000,0
1644798901.720,-20.508,-476.074,-31.738,-37.598,0.000,0
1644798901.724,-12.695,73.730,-34.668,-20.020,0.000,0
1644798901.739,-20.996,159.180,-34.180,-15.137,0.000,0
1644798901.743,-29.297,-456.543,-38.086,-16.113,0.000,0
1644798901.747,-39.062,-1000.000,-37.598,-17.578,0.000,0
1644798901.752,-31.250,-670.898,-33.691,-28.320,0.000,0
1644798901.756,-20.020,-187.988,-30.273,-22.461,0.000,0
1644798901.760,-26.367,-185.059,-29.297,-12.207,0.000,0
1644798901.765,-41.504,-569.824,-39.062,-17.578,0.000,0
1644798901.769,-48.340,-705.566,-44.434,-36.621,0.000,0
1644798901.774,-39.551,-396.484,-43.945,-46.387,0.000,0
1644798901.778,-24.414,91.797,-40.039,-28.809,0.000,0
1644798901.782,-17.090,205.078,-35.645,-20.996,0.000,0
1644798901.787,-28.320,-90.820,-38.086,-11.719,0.000,0
1644798901.803,-41.504,-533.691,-35.156,-19.043,0.000,0
1644798901.808,-32.227,-475.098,-29.785,-41.992,0.000,0
1644798901.812,-16.602,-3.418,-29.297,-31.250,0.000,0
1644798901.817,-19.531,176.758,-34.180,-16.113,0.000,0
1644798901.821,-40.039,-109.863,-42.969,-24.414,0.000,0
1644798901.826,-47.852,-735.840,-46.875,-40.527,0.000,0
1644798901.830,-38.086,-892.090,-40.039,-54.199,0.000,0
1644798901.835,-36.133,-449.219,-35.645,-52.246,0.000,0
1644798901.839,-25.391,-360.352,-40.039,-25.879,0.000,0
1644798901.844,-20.996,-852.539,-39.062,7.324,0.000,0
1644798901.848,-30.273,-913.574,-34.668,-6.836,0.000,0
1644798901.853,-27.344,-568.359,-29.785,-29.297,0.000,0
1644798901.870,-23.438,-146.484,-27.832,-34.180,0.000,0
1644798901.875,-28.320,187.500,-32.227,-33.691,0.000,0
1644798901.880,-35.645,63.965,-33.203,-18.066,0.000,0
1644798901.884,-41.992,-414.062,-34.180,-23.438,0.000,0
1644798901.889,-45.898,-560.059,-36.621,-61.523,0.000,0
1644798901.894,-33.203,-412.109,-34.180,-69.336,0.000,0
1644798901.898,-24.902,-225.586,-33.203,-42.480,0.000,0
1644798901.903,-36.133,-59.082,-27.344,-25.391,0.000,0
1644798901.908,-46.387,-334.961,-27.344,-23.926,0.000,0
1644798901.912,-48.340,-706.543,-30.273,-33.203,0.000,0
1644798901.917,-44.434,-423.828,-30.273,-27.832,0.000,0
1644798901.922,-36.621,115.723,-33.691,-6.348,0.000,0
1644798901.939,-33.203,98.633,-30.762,11.719,0.000,0
1644798901.944,-41.016,-375.000,-30.273,1.953,0.000,0
1644798901.949,-39.062,-608.398,-31.250,-29.297,0.000,0
1644798901.954,-32.715,-264.160,-25.879,-46.875,0.000,0
1644798901.959,-23.926,-634.277,-27.832,-24.414,0.000,0
1644798901.963,-20.996,-885.254,-29.297,-16.113,0.000,0
1644798901.968,-33.691,-746.094,-30.762,-26.367,0.000,0
1644798901.973,-42.480,-981.445,-36.621,-36.621,0.000,0
1644798901.978,-36.133,-498.047,-33.203,-49.316,0.000,0
1644798901.983,-26.855,115.234,-29.785,-33.691,0.000,0
1644798901.988,-25.391,178.223,-29.297,-21.973,0.000,0
1644798901.992,-31.250,-146.484,-32.227,-7.324,0.000,0
1644798902.003,-31.250,-630.859,-40.039,-9.277,0.000,0
1644798902.008,-32.227,-565.918,-38.086,-26.855,0.000,0
1644798902.012,-24.902,4.395,-34.180,-19.043,0.000,0
1644798902.017,-19.043,50.293,-38.574,-20.508,0.000,0
1644798902.022,-32.715,-312.500,-41.992,-27.832,0.000,0
1644798902.027,-41.504,-826.172,-40.039,-37.109,0.000,0
1644798902.032,-31.250,-795.410,-36.133,-47.363,0.000,0
1644798902.037,-20.996,-98.145,-33.203,-27.344,0.000,0
1644798902.042,-27.344,184.570,-29.785,-2.441,0.000,0
1644798902.046,-28.320,-105.957,-29.785,-6.836,0.000,0
1644798902.051,-28.320,-518.555,-30.762,-20.996,0.000,0
1644798902.056,-17.090,-942.871,-36.133,-25.391,0.000,0
1644798902.060,-3.418,-673.828,-37.109,-24.414,0.000,0
1644798902.065,-6.836,109.375,-29.297,-15.137,0.000,0
1644798902.070,-21.484,36.621,-32.715,5.859,0.000,0
1644798902.075,-38.086,-548.340,-41.504,-1.953,0.000,0
1644798902.080,-33.691,-682.617,-38.086,-22.461,0.000,0
1644798902.084,-20.996,-322.754,-37.109,-14.648,0.000,0
1644798902.089,-16.113,-198.242,-39.062,-9.766,0.000,0
1644798902.094,-13.184,-363.281,-38.086,-17.090,0.000,0
1644798902.099,-24.414,-598.633,-41.992,-31.738,0.000,0
1644798902.104,-20.996,-519.531,-38.574,-45.410,0.000,0
1644798902.109,-10.742,-132.324,-32.715,-38.086,0.000,0
1644798902.114,-6.836,187.012,-33.691,-14.160,0.000,0
1644798902.113,-10.742,89.844,-38.086,-0.488,0.000,0
1644798902.117,-29.297,-411.621,-40.039,-4.395,0.000,0
1644798902.122,-41.992,-595.703,-38.086,-21.973,0.000,0
1644798902.127,-34.668,-227.051,-41.016,-46.387,0.000,0
1644798902.132,-25.391,53.711,-41.016,-47.852,0.000,0
1644798902.137,-34.668,-213.379,-36.621,-29.297,0.000,0
1644798902.141,-42.480,-797.363,-41.992,-22.949,0.000,0
1644798902.146,-39.551,-956.055,-45.898,-44.922,0.000,0
1644798902.151,-30.273,-372.070,-40.039,-56.152,0.000,0
1644798902.156,-17.578,142.090,-32.227,-35.645,0.000,0
1644798902.161,-18.555,162.109,-29.297,-10.254,0.000,0
1644798902.165,-31.738,-240.234,-31.250,-3.418,0.000,0
1644798902.160,-32.227,-582.031,-34.180,-26.367,0.000,0
1644798902.165,-22.949,-297.363,-36.621,-49.316,0.000,0
1644798902.170,-21.484,128.418,-32.227,-34.180,0.000,0
1644798902.174,-31.250,155.762,-31.250,-23.438,0.000,0
1644798902.179,-40.039,-278.809,-38.086,-37.109,0.000,0
1644798902.184,-40.527,-835.449,-37.598,-32.715,0.000,0
1644798902.189,-36.133,-771.973,-27.344,-32.227,0.000,0
1644798902.193,-27.344,-285.156,-24.414,-27.832,0.000,0
