timestamps,TP9,AF7,AF8,TP10,Right AUX
1644802098.085,0.000,0.000,0.000,0.000,0.000
1644802098.088,0.000,0.000,-1.465,0.000,0.000
1644802098.092,-3.418,-0.977,1.953,-1.953,0.000
1644802098.096,5.371,1.953,-3.906,2.441,0.000
1644802098.100,-31.250,-11.719,-8.301,-18.555,0.000
1644802098.104,-101.074,-31.738,-2.441,-71.289,0.000
1644802098.108,-121.582,-30.762,-39.551,-106.445,0.000
1644802098.112,-109.375,-27.344,-44.434,-109.863,0.000
1644802098.115,-74.707,-25.879,-32.715,-81.543,0.000
1644802098.119,-64.453,-24.902,-38.086,-58.105,0.000
1644802098.123,-78.125,-22.461,-51.270,-50.293,0.000
1644802098.127,-105.957,-27.832,-62.500,-54.199,0.000
1644802098.131,-114.746,-32.715,-62.988,-74.219,0.000,0
1644802098.134,-87.402,-25.879,-55.176,-70.312,0.000,0
1644802098.138,-79.102,-17.578,-49.805,-62.988,0.000,0
1644802098.142,-98.633,-20.020,-54.688,-64.941,0.000,0
1644802098.146,-122.070,-28.320,-63.965,-60.547,0.000,0
1644802098.150,-103.027,-29.297,-62.500,-71.289,0.000,0
1644802098.154,-81.543,-25.391,-59.082,-74.707,0.000,0
1644802098.157,-88.379,-17.578,-55.176,-65.430,0.000,0
1644802098.161,-92.773,-20.508,-52.734,-66.895,0.000,0
1644802098.165,-113.281,-30.762,-57.617,-61.035,0.000,0
1644802098.169,-125.488,-28.809,-59.082,-79.102,0.000,0
1644802098.173,-88.379,-25.879,-56.641,-79.102,0.000,0
1644802098.178,-70.312,-24.902,-47.852,-59.570,0.000,1
1644802098.181,-100.586,-22.461,-52.734,-71.289,0.000,0
1644802098.185,-128.418,-22.949,-66.406,-76.172,0.000,0
1644802098.189,-128.906,-21.484,-71.289,-83.496,0.000,0
1644802098.193,-95.703,-20.996,-64.941,-90.820,0.000,0
1644802098.197,-82.031,-25.391,-63.965,-75.684,0.000,0
1644802098.201,-96.680,-23.438,-70.801,-57.617,0.000,0
1644802098.205,-118.652,-28.320,-77.148,-64.453,0.000,0
1644802098.209,-130.371,-32.227,-76.660,-91.309,0.000,0
1644802098.212,-110.840,-26.855,-69.336,-102.539,0.000,0
1644802098.216,-86.914,-19.043,-65.430,-86.426,0.000,0
1644802098.220,-85.938,-13.672,-65.918,-94.238,0.000,0
1644802098.229,-113.281,-14.648,-67.383,-94.727,0.000,0
1644802098.233,-143.066,-16.113,-69.824,-88.379,0.000,0
1644802098.237,-126.465,-14.160,-68.359,-100.098,0.000,0
1644802098.241,-90.820,-11.230,-69.824,-96.680,0.000,0
