timestamps,TP9,AF7,AF8,TP10,Right AUX
1644802337.597,0.000,0.000,0.000,0.000,0.000
1644802337.601,0.000,0.000,-0.977,0.000,0.000
1644802337.605,-3.418,-1.465,3.906,-1.465,0.000
1644802337.609,6.836,2.441,-12.207,2.441,0.000
1644802337.613,-37.109,-13.184,43.457,-17.090,0.000
1644802337.616,-105.957,-37.109,60.547,-41.016,0.000
1644802337.620,-98.145,-33.203,-18.555,-58.594,0.000
1644802337.624,-77.148,-32.227,-7.812,-75.195,0.000
1644802337.628,-65.430,-31.738,-3.418,-61.523,0.000
1644802337.632,-69.824,-30.273,-18.555,-49.805,0.000
1644802337.636,-89.355,-36.133,-24.902,-50.781,0.000
1644802337.640,-85.938,-37.598,-24.902,-61.035,0.000
1644802337.640,-85.938,-37.598,-24.902,-61.035,0.000,0
1644802337.643,-63.965,-31.738,-23.438,-56.152,0.000,0
1644802337.647,-55.664,-28.809,-19.043,-48.828,0.000,0
1644802337.651,-72.266,-29.785,-21.973,-47.852,0.000,0
1644802337.655,-98.145,-38.086,-29.297,-47.852,0.000,0
1644802337.658,-90.332,-40.527,-24.414,-50.293,0.000,0
1644802337.662,-68.848,-32.715,-24.902,-55.176,0.000,0
1644802337.666,-61.035,-30.762,-26.367,-37.598,0.000,0
1644802337.670,-78.613,-28.320,-23.438,-29.297,0.000,0
1644802337.674,-97.168,-28.809,-23.438,-42.969,0.000,0
1644802337.678,-95.215,-28.320,-21.484,-55.176,0.000,0
1644802337.681,-79.102,-28.320,-27.344,-62.012,0.000,0
1644802337.685,-64.941,-29.785,-30.273,-48.340,0.000,0
1644802337.700,-67.383,-21.973,-31.738,-39.551,0.000,0
1644802337.705,-80.078,-22.949,-34.668,-41.992,0.000,0
1644802337.709,-91.797,-30.273,-27.832,-59.570,0.000,0
1644802337.713,-74.707,-30.273,-25.391,-62.012,0.000,0
1644802337.717,-50.781,-29.785,-21.973,-51.758,0.000,0
1644802337.722,-52.734,-28.809,-19.531,-49.316,0.000,0
1644802337.726,-67.871,-32.715,-25.879,-44.922,0.000,0
1644802337.730,-88.379,-37.109,-28.809,-46.875,0.000,0
1644802337.735,-70.312,-34.668,-32.227,-54.688,0.000,0
1644802337.739,-45.898,-31.250,-35.156,-52.734,0.000,0
1644802337.743,-61.035,-29.785,-33.203,-53.223,0.000,0
1644802337.748,-74.219,-29.785,-31.250,-62.012,0.000,0
1644802337.771,-88.867,-35.156,-27.832,-58.594,0.000,0
1644802337.775,-74.707,-34.180,-24.902,-51.270,0.000,0
1644802337.780,-47.363,-24.902,-24.902,-55.176,0.000,0
1644802337.785,-38.574,-21.973,-20.996,-45.410,0.000,0
1644802337.790,-57.617,-29.785,-23.926,-33.203,0.000,0
1644802337.795,-90.332,-37.598,-34.180,-46.875,0.000,0
1644802337.800,-78.613,-39.551,-32.227,-56.152,0.000,0
1644802337.804,-53.223,-28.320,-23.438,-55.176,0.000,0
1644802337.809,-57.617,-24.902,-20.020,-51.270,0.000,0
1644802337.814,-83.496,-36.621,-23.438,-56.152,0.000,0
1644802337.819,-99.609,-43.457,-33.691,-47.363,0.000,0
1644802337.824,-91.797,-40.527,-39.062,-49.316,0.000,0
1644802337.850,-75.684,-38.574,-39.062,-59.570,0.000,0
1644802337.855,-57.617,-30.273,-34.668,-49.316,0.000,0
1644802337.861,-60.547,-24.902,-32.715,-38.574,0.000,0
1644802337.866,-82.031,-28.809,-35.156,-34.668,0.000,0
1644802337.871,-78.125,-26.855,-32.227,-50.293,0.000,0
1644802337.876,-50.293,-23.926,-27.832,-53.711,0.000,0
1644802337.882,-45.410,-24.902,-22.461,-41.504,0.000,0
1644802337.887,-60.059,-30.762,-29.785,-32.227,0.000,0
1644802337.892,-74.707,-32.227,-38.574,-27.832,0.000,0
1644802337.897,-83.496,-28.320,-39.062,-51.758,0.000,0
1644802337.903,-69.336,-23.438,-37.109,-64.453,0.000,0
1644802337.908,-58.105,-24.902,-34.180,-55.664,0.000,0
1644802337.936,-70.312,-31.738,-36.133,-52.246,0.000,0
1644802337.942,-81.055,-40.527,-41.016,-45.410,0.000,0
1644802337.948,-74.707,-41.016,-36.621,-48.828,0.000,0
1644802337.953,-56.641,-32.715,-29.785,-62.012,0.000,0
1644802337.959,-47.852,-26.855,-29.297,-50.293,0.000,0
1644802337.964,-61.035,-24.414,-30.762,-31.250,0.000,0
1644802337.970,-75.684,-31.250,-35.156,-43.945,0.000,0
1644802337.976,-78.125,-34.668,-35.156,-63.477,0.000,0
1644802337.981,-61.523,-33.691,-37.109,-59.570,0.000,0
1644802337.987,-47.852,-27.832,-38.086,-51.270,0.000,0
1644802337.993,-60.059,-28.809,-33.691,-30.762,0.000,0
1644802337.998,-80.566,-39.062,-39.062,-34.668,0.000,0
1644802338.018,-90.332,-41.992,-47.852,-53.223,0.000,0
1644802338.024,-69.824,-29.785,-43.457,-48.828,0.000,0
1644802338.030,-50.293,-27.832,-37.598,-49.316,0.000,0
1644802338.036,-52.246,-31.250,-37.598,-41.016,0.000,0
1644802338.042,-76.172,-30.273,-35.645,-38.086,0.000,0
1644802338.047,-95.703,-40.039,-42.969,-58.105,0.000,0
1644802338.053,-74.219,-43.457,-45.410,-63.965,0.000,0
1644802338.059,-57.129,-35.156,-37.598,-58.105,0.000,0
1644802338.065,-65.430,-39.551,-38.086,-50.293,0.000,0
1644802338.071,-65.430,-45.410,-41.016,-25.879,0.000,0
1644802338.077,-75.195,-42.969,-38.574,-35.645,0.000,0
1644802338.083,-76.172,-38.086,-39.551,-61.035,0.000,0
1644802338.093,-56.152,-30.762,-38.574,-50.293,0.000,0
1644802338.099,-59.570,-31.738,-38.574,-43.457,0.000,0
1644802338.104,-72.266,-36.621,-43.457,-36.621,0.000,0
