timestamps,TP9,AF7,AF8,TP10,Right AUX
1639814237.363,0.000,0.000,0.000,-0.488,0.000
1639814237.367,0.000,0.000,-3.906,0.000,0.000
1639814237.370,-32.227,-1.465,12.207,0.488,0.000
1639814237.374,70.312,0.488,-35.156,-6.348,0.000
1639814237.378,-396.484,-3.418,90.820,24.414,0.000
1639814237.382,-1000.000,-33.203,115.723,-21.973,0.000
1639814237.386,-997.070,-44.922,-129.883,-72.754,0.000
1639814237.390,-951.172,-25.391,-111.816,7.812,0.000
1639814237.394,-1000.000,-9.277,-60.059,35.156,0.000
1639814237.397,-668.457,-7.324,-30.273,55.176,0.000
1639814237.401,-417.969,-24.902,-44.434,-4.395,0.000
1639814237.405,-1000.000,-39.551,-50.293,-83.984,0.000
1639814237.409,-1000.000,-29.785,-37.598,-24.414,0.000,0
1639814237.412,-981.934,-14.160,-24.414,7.324,0.000,0
1639814237.416,-997.070,-9.277,-27.344,10.742,0.000,0
1639814237.420,-980.957,-24.414,-61.523,-22.949,0.000,0
1639814237.424,-1000.000,-36.133,-70.801,-49.805,0.000,0
1639814237.428,-1000.000,-36.621,-61.523,13.672,0.000,0
1639814237.432,-999.512,-30.273,-60.059,20.508,0.000,0
1639814237.435,-1000.000,-14.160,-50.781,22.949,0.000,0
1639814237.439,-1000.000,-28.320,-60.059,-9.766,0.000,0
1639814237.443,-1000.000,-38.574,-56.641,-80.566,0.000,0
1639814237.447,-1000.000,-28.320,-31.250,-29.785,0.000,0
1639814237.451,-1000.000,-41.504,-44.922,33.203,0.000,0
1639814237.456,-1000.000,-20.020,-48.340,34.180,0.000,0
1639814237.460,-1000.000,-4.395,-62.988,-24.414,0.000,0
1639814237.463,-1000.000,-32.715,-79.102,-86.914,0.000,0
1639814237.467,-1000.000,-44.922,-57.129,-51.270,0.000,0
1639814237.471,-1000.000,-27.832,-16.113,5.859,0.000,0
1639814237.475,-1000.000,-10.742,-13.184,26.367,0.000,0
1639814237.479,-1000.000,-17.578,-66.406,-2.441,0.000,0
1639814237.483,-1000.000,-30.762,-84.961,-42.969,0.000,0
1639814237.487,-1000.000,-28.809,-59.570,-20.996,0.000,0
1639814237.491,-1000.000,-24.902,-39.551,20.508,0.000,0
1639814237.494,-1000.000,-20.508,-31.738,45.898,0.000,0
1639814237.498,-1000.000,-15.137,-43.457,14.160,0.000,0
1639814237.507,-1000.000,-29.297,-69.336,-34.668,0.000,0
1639814237.511,-1000.000,-26.367,-60.547,-41.016,0.000,0
1639814237.515,-1000.000,-14.648,-31.738,-14.648,0.000,0
1639814237.519,-1000.000,-5.859,-34.668,16.113,0.000,0
1639814237.523,-1000.000,-7.812,-62.012,0.977,0.000,0
1639814237.527,-1000.000,-31.250,-75.684,-62.500,0.000,0
1639814237.531,-1000.000,-58.105,-68.359,-27.344,0.000,0
1639814237.535,-1000.000,-41.016,-43.457,52.246,0.000,0
1639814237.539,-1000.000,2.441,-10.742,66.406,0.000,0
1639814237.543,-1000.000,3.906,-32.715,44.922,0.000,0
1639814237.547,-1000.000,-19.531,-76.172,-33.691,0.000,0
1639814237.551,-1000.000,-28.320,-49.316,-63.477,0.000,0
1639814237.563,-1000.000,-21.484,-22.461,2.441,0.000,0
1639814237.567,-1000.000,-20.996,-21.484,33.203,0.000,0
1639814237.572,-1000.000,-12.207,-20.020,16.113,0.000,0
1639814237.576,-1000.000,-26.855,-52.246,-53.223,0.000,0
1639814237.580,-1000.000,-42.480,-64.453,-72.266,0.000,0
1639814237.584,-1000.000,-26.367,-50.293,5.371,0.000,0
1639814237.588,-1000.000,-20.508,-51.270,22.461,0.000,0
1639814237.592,-1000.000,-8.301,-40.527,20.020,0.000,0
1639814237.597,-1000.000,-11.230,-42.480,-19.043,0.000,0
1639814237.601,-1000.000,-42.969,-54.199,-67.871,0.000,0
1639814237.605,-1000.000,-39.551,-50.293,-5.371,0.000,0
