timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1641445062.954,0.000,0.000,-0.488,0.000,0.000,0
1641445062.957,0.000,0.000,-1.953,0.000,0.000,0
1641445062.961,-6.836,-1.465,6.348,-7.324,0.000,0
1641445062.965,13.672,2.930,-17.090,15.137,0.000,0
1641445062.969,-82.520,-16.602,48.828,-85.938,0.000,0
1641445062.973,-230.957,-42.969,91.309,-239.258,0.000,0
1641445062.977,-249.023,-35.156,-17.578,-228.516,0.000,0
1641445062.981,-250.488,-37.109,-6.348,-228.516,0.000,0
1641445062.984,-228.027,-44.434,16.113,-226.074,0.000,0
1641445062.988,-217.285,-45.410,17.090,-210.938,0.000,0
1641445062.992,-227.539,-34.180,24.414,-218.262,0.000,0
1641445062.996,-216.797,-27.344,26.855,-211.426,0.000,0
1641445063.000,-187.012,-39.062,30.273,-182.129,0.000,0
1641445063.003,-150.879,-30.762,32.227,-152.832,0.000,0
1641445063.007,-162.109,-18.066,35.156,-167.969,0.000,0
1641445063.011,-178.223,-25.879,39.062,-179.199,0.000,0
1641445063.015,-135.254,-27.832,28.320,-151.855,0.000,0
1641445063.019,-105.469,-27.832,10.254,-124.023,0.000,0
1641445063.023,-121.582,-27.344,11.719,-123.535,0.000,0
1641445063.026,-142.090,-24.414,22.949,-124.023,0.000,0
1641445063.030,-131.836,-29.785,22.461,-111.328,0.000,0
1641445063.034,-85.938,-31.738,20.020,-83.008,0.000,0
1641445063.038,-86.914,-37.109,21.484,-84.473,0.000,0
1641445063.042,-104.492,-50.293,10.254,-98.633,0.000,0
1641445063.047,-91.797,-40.039,6.348,-90.820,0.000,0
1641445063.050,-63.477,-29.297,11.230,-78.125,0.000,0
1641445063.054,-42.480,-32.715,12.207,-62.500,0.000,0
1641445063.058,-71.289,-34.668,18.066,-74.707,0.000,0
1641445063.062,-88.379,-39.062,17.090,-73.730,0.000,0
1641445063.066,-64.453,-37.109,7.812,-57.129,0.000,0
1641445063.070,-36.621,-40.527,8.301,-43.457,0.000,0
1641445063.074,-49.316,-41.504,11.230,-54.199,0.000,0
1641445063.078,-66.895,-35.156,15.625,-62.012,0.000,0
1641445063.081,-49.316,-37.109,17.578,-45.898,0.000,0
1641445063.085,-20.020,-39.551,14.160,-34.180,0.000,0
1641445063.089,-41.992,-34.668,18.066,-39.551,0.000,0
1641445063.098,-76.172,-28.809,18.066,-53.223,0.000,0
1641445063.102,-64.453,-30.762,13.184,-60.547,0.000,0
1641445063.106,-38.086,-40.039,7.324,-47.363,0.000,0
1641445063.110,-32.715,-33.203,16.113,-45.410,0.000,0
1641445063.114,-53.711,-31.250,16.602,-65.430,0.000,0
1641445063.118,-65.430,-37.109,5.859,-74.219,0.000,0
1641445063.122,-41.992,-46.387,-0.977,-50.293,0.000,0
1641445063.126,-28.320,-46.875,3.906,-24.414,0.000,0
1641445063.130,-57.617,-26.855,19.531,-58.105,0.000,0
1641445063.134,-63.477,-29.785,17.090,-68.848,0.000,0
1641445063.138,-37.598,-36.621,8.789,-53.711,0.000,0
1641445063.142,-19.043,-36.133,7.812,-36.133,0.000,0
1641445063.154,-41.504,-36.133,4.883,-47.363,0.000,0
1641445063.158,-65.918,-29.785,3.418,-69.824,0.000,0
1641445063.162,-52.246,-26.855,7.812,-68.359,0.000,0
1641445063.166,-23.438,-26.367,13.184,-54.688,0.000,0
1641445063.171,-31.250,-31.738,14.648,-63.965,0.000,0
1641445063.175,-62.012,-36.133,8.301,-87.402,0.000,0
1641445063.179,-63.477,-36.621,7.324,-77.148,0.000,0
1641445063.183,-44.434,-41.992,12.207,-42.969,0.000,0
1641445063.187,-50.781,-38.086,16.602,-49.805,0.000,0
1641445063.192,-75.684,-42.969,10.254,-85.938,0.000,0
1641445063.196,-77.148,-45.898,6.836,-83.008,0.000,0
1641445063.200,-56.152,-41.992,7.324,-72.266,0.000,0
1641445063.215,-43.945,-36.621,9.766,-67.383,0.000,0
1641445063.219,-65.918,-48.340,2.930,-80.566,0.000,0
1641445063.223,-74.707,-59.570,-7.812,-92.773,0.000,0
1641445063.228,-61.523,-49.805,-6.348,-86.426,0.000,0
1641445063.232,-32.227,-44.922,-2.441,-58.105,0.000,0
1641445063.237,-55.176,-41.992,-1.465,-68.848,0.000,0
1641445063.241,-84.961,-37.109,-0.488,-90.820,0.000,0
1641445063.245,-77.148,-41.992,0.977,-89.355,0.000,1
1641445063.250,-41.992,-47.363,8.789,-58.105,0.000,0
1641445063.254,-51.270,-44.434,8.301,-53.223,0.000,0
1641445063.258,-99.121,-46.875,2.930,-83.008,0.000,0
1641445063.263,-84.961,-40.039,11.230,-79.590,0.000,0
1641445063.279,-40.039,-34.668,9.766,-54.688,0.000,0
