timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1644798352.376,-105.469,150.391,-53.223,-44.434,0.000,0
1644798352.380,-103.027,-702.637,-74.219,-59.082,0.000,0
1644798352.384,-109.863,-1000.000,-78.125,-79.590,0.000,0
1644798352.388,-108.398,-791.016,-59.570,-108.887,0.000,0
1644798352.392,-95.215,126.465,-47.852,-105.469,0.000,0
1644798352.396,-80.566,103.027,-72.266,-82.520,0.000,0
1644798352.400,-86.914,-794.434,-90.820,-61.523,0.000,0
1644798352.404,-107.422,-1000.000,-79.590,-63.965,0.000,0
1644798352.408,-120.117,-849.121,-58.594,-103.027,0.000,0
1644798352.412,-113.281,42.480,-53.711,-111.816,0.000,0
1644798352.416,-93.262,430.664,-57.617,-80.566,0.000,0
1644798352.420,-86.914,-541.992,-75.684,-47.363,0.000,0
1644798352.430,-100.098,-1000.000,-76.660,-57.617,0.000,0
1644798352.434,-112.793,-876.953,-56.641,-106.934,0.000,0
1644798352.438,-108.398,-53.223,-47.363,-97.168,0.000,0
1644798352.442,-100.098,555.664,-50.293,-70.801,0.000,0
1644798352.447,-100.098,-194.824,-64.453,-57.617,0.000,0
1644798352.451,-102.539,-960.449,-77.148,-53.223,0.000,0
1644798352.455,-112.305,-1000.000,-62.500,-88.379,0.000,0
1644798352.459,-108.398,-462.402,-33.691,-111.816,0.000,0
1644798352.464,-92.285,384.277,-35.156,-101.562,0.000,0
1644798352.468,-98.633,-134.766,-59.082,-70.312,0.000,0
1644798352.472,-111.816,-978.516,-75.195,-55.664,0.000,0
1644798352.476,-120.605,-1000.000,-67.871,-96.191,0.000,0
1644798352.491,-122.559,-264.160,-50.781,-118.652,0.000,0
1644798352.496,-107.910,569.336,-52.246,-101.562,0.000,0
1644798352.500,-97.656,134.277,-64.941,-72.754,0.000,0
1644798352.505,-106.445,-717.773,-71.289,-49.316,0.000,0
1644798352.510,-121.094,-1000.000,-62.988,-62.988,0.000,0
1644798352.514,-117.188,-604.980,-50.781,-90.820,0.000,0
1644798352.519,-98.633,-92.773,-57.129,-77.637,0.000,0
1644798352.523,-95.215,-238.281,-62.988,-50.781,0.000,0
1644798352.528,-109.863,-676.758,-73.242,-62.500,0.000,0
1644798352.532,-124.023,-1000.000,-78.125,-99.609,0.000,0
1644798352.537,-118.164,-526.367,-53.223,-110.352,0.000,0
