timestamps,TP9,AF7,AF8,TP10,Right AUX
1644798597.982,0.000,0.000,0.000,0.000,0.000
1644798597.986,0.000,0.977,-0.977,0.000,0.000
1644798597.990,-2.441,-29.297,2.441,-1.465,0.000
1644798597.994,4.395,55.176,-8.789,1.465,0.000
1644798597.997,-24.902,-301.270,27.832,-10.742,0.000
1644798598.001,-69.824,-977.051,36.133,-42.480,0.000
1644798598.005,-55.176,-858.887,-23.926,-53.711,0.000
1644798598.009,-39.062,-455.078,-20.508,-38.574,0.000
1644798598.013,-47.363,-320.312,-18.066,-16.113,0.000
1644798598.017,-62.500,-550.293,-26.367,-11.719,0.000
1644798598.021,-71.289,-933.594,-36.133,-31.738,0.000
1644798598.024,-59.082,-835.938,-33.203,-34.668,0.000
1644798598.028,-44.922,-466.797,-29.297,-20.508,0.000,0
1644798598.032,-53.223,-292.480,-39.062,-25.391,0.000,0
1644798598.036,-74.707,-412.598,-42.480,-26.855,0.000,0
1644798598.039,-87.891,-779.785,-41.504,-29.297,0.000,0
1644798598.043,-72.754,-841.797,-37.109,-39.062,0.000,0
1644798598.047,-43.457,-702.148,-33.691,-30.762,0.000,0
1644798598.051,-42.480,-643.066,-32.227,-18.555,0.000,0
1644798598.055,-54.199,-656.738,-30.273,-6.836,0.000,0
1644798598.059,-63.965,-861.328,-38.086,-11.230,0.000,0
1644798598.062,-52.246,-828.125,-34.668,-36.621,0.000,0
1644798598.066,-42.969,-387.695,-34.180,-41.992,0.000,0
1644798598.070,-40.527,-663.086,-38.574,-18.555,0.000,0
1644798598.075,-53.711,-899.902,-34.180,-13.184,0.000,0
1644798598.079,-75.195,-714.844,-41.504,-36.621,0.000,0
1644798598.083,-66.406,-721.680,-41.504,-52.246,0.000,0
1644798598.087,-39.551,-380.371,-36.133,-42.969,0.000,0
1644798598.091,-34.668,-110.352,-35.645,-13.184,0.000,0
1644798598.095,-51.270,-396.973,-35.645,-16.602,0.000,0
1644798598.099,-66.895,-902.344,-34.180,-15.625,0.000,0
1644798598.102,-74.219,-1000.000,-30.762,-17.578,0.000,0
1644798598.106,-58.594,-525.391,-29.785,-31.738,0.000,0
1644798598.110,-46.875,-206.543,-29.297,-23.438,0.000,0
1644798598.114,-47.363,-259.766,-33.203,-27.832,0.000,0
1644798598.118,-62.500,-437.500,-39.062,-42.969,0.000,0
1644798598.143,-78.613,-647.949,-41.016,-54.688,0.000,0
1644798598.147,-58.594,-384.766,-34.668,-57.129,0.000,0
1644798598.152,-41.992,-42.969,-29.785,-40.039,0.000,0
1644798598.156,-40.039,38.086,-30.762,-18.555,0.000,0
1644798598.161,-63.477,-382.812,-36.133,-23.438,0.000,1
1644798598.165,-87.402,-883.301,-39.062,-37.109,0.000,0
1644798598.170,-56.641,-1000.000,-34.668,-38.086,0.000,0
1644798598.174,-42.969,-818.359,-37.109,-35.645,0.000,0
1644798598.178,-62.988,-222.168,-40.039,-41.504,0.000,0
1644798598.183,-73.242,-229.980,-37.598,-41.504,0.000,0
1644798598.187,-69.336,-602.539,-39.062,-50.293,0.000,0
1644798598.192,-60.547,-400.879,-37.598,-49.316,0.000,0
1644798598.230,-48.828,-147.461,-34.668,-37.109,0.000,0
1644798598.235,-35.156,-154.297,-39.062,-33.691,0.000,0
1644798598.240,-61.035,-254.883,-44.434,-31.250,0.000,0
1644798598.246,-77.637,-558.105,-46.387,-40.527,0.000,0
1644798598.251,-52.246,-513.184,-40.039,-50.293,0.000,0
1644798598.256,-40.039,-311.035,-33.203,-40.039,0.000,0
1644798598.261,-41.016,-283.203,-33.691,-28.320,0.000,0
1644798598.266,-50.781,-541.016,-41.504,-24.902,0.000,0
1644798598.271,-57.617,-865.723,-41.504,-33.203,0.000,0
1644798598.277,-46.387,-627.930,-37.598,-49.805,0.000,0
1644798598.282,-36.621,-106.445,-36.133,-34.668,0.000,0
1644798598.287,-36.133,136.719,-37.598,-26.855,0.000,0
1644798598.324,-42.969,21.973,-37.109,-34.668,0.000,0
1644798598.329,-47.852,-600.098,-41.016,-25.879,0.000,0
1644798598.335,-52.734,-1000.000,-45.410,-31.250,0.000,0
1644798598.341,-55.664,-514.160,-42.969,-44.922,0.000,0
1644798598.346,-49.805,-143.555,-41.016,-26.367,0.000,0
1644798598.352,-59.570,-397.461,-39.551,-14.648,0.000,0
1644798598.358,-74.707,-753.906,-37.598,-21.484,0.000,0
1644798598.364,-71.777,-604.980,-33.203,-37.598,0.000,0
1644798598.369,-57.617,-132.812,-33.691,-46.875,0.000,0
1644798598.375,-53.223,192.871,-36.133,-28.809,0.000,0
1644798598.381,-49.805,100.586,-36.133,-20.508,0.000,0
1644798598.386,-59.570,-351.562,-38.574,-34.180,0.000,0
1644798598.412,-54.688,-563.477,-40.039,-39.551,0.000,0
1644798598.418,-29.785,-207.520,-41.016,-44.434,0.000,0
1644798598.423,-37.598,149.414,-33.691,-43.457,0.000,0
1644798598.429,-56.641,103.516,-32.715,-29.785,0.000,0
1644798598.435,-75.684,-326.172,-44.922,-29.297,0.000,0
1644798598.441,-64.941,-834.961,-40.039,-39.551,0.000,0
1644798598.447,-35.156,-766.602,-28.809,-37.109,0.000,0
1644798598.453,-44.434,-307.129,-25.391,-21.973,0.000,0
1644798598.459,-51.270,-428.711,-26.855,-24.414,0.000,0
1644798598.465,-66.406,-803.711,-29.297,-28.320,0.000,0
1644798598.471,-78.125,-694.336,-31.738,-41.504,0.000,0
1644798598.477,-46.875,-311.523,-24.414,-36.621,0.000,0
1644798598.498,-34.180,137.207,-20.020,-22.461,0.000,0
1644798598.504,-40.039,247.070,-30.273,-22.949,0.000,0
1644798598.510,-49.805,-108.398,-37.109,-20.996,0.000,0
1644798598.516,-68.359,-524.414,-37.109,-25.879,0.000,0
1644798598.522,-65.430,-379.883,-33.691,-38.086,0.000,0
1644798598.528,-41.016,-212.891,-33.691,-21.973,0.000,0
1644798598.534,-45.410,-206.055,-31.250,-16.602,0.000,0
1644798598.541,-68.848,-297.852,-29.785,-31.738,0.000,0
1644798598.547,-61.523,-600.586,-34.180,-27.344,0.000,0
1644798598.553,-39.062,-606.934,-37.598,-26.855,0.000,0
1644798598.559,-31.250,-273.438,-34.180,-28.320,0.000,0
1644798598.565,-38.574,60.059,-29.297,-23.438,0.000,0
1644798598.576,-43.945,-71.777,-30.273,-16.602,0.000,0
1644798598.582,-57.129,-553.711,-35.645,-31.250,0.000,0
1644798598.588,-54.688,-497.559,-31.250,-41.016,0.000,0
1644798598.594,-41.016,-100.586,-24.902,-22.949,0.000,0
1644798598.601,-39.551,-270.508,-32.715,-17.578,0.000,0
1644798598.607,-52.734,-545.410,-38.574,-24.902,0.000,0
1644798598.613,-66.406,-899.902,-37.109,-25.391,0.000,0
1644798598.619,-57.617,-908.203,-33.691,-26.367,0.000,0
1644798598.625,-47.363,-236.816,-35.156,-31.738,0.000,0
1644798598.632,-46.387,186.523,-36.621,-19.531,0.000,0
1644798598.638,-52.246,-12.695,-31.250,-2.930,0.000,0
1644798598.644,-61.523,-436.035,-28.320,-16.113,0.000,0
1644798598.648,-49.316,-698.730,-35.156,-40.527,0.000,0
1644798598.654,-36.621,-438.965,-36.621,-42.969,0.000,0
1644798598.661,-33.203,32.715,-30.762,-23.926,0.000,0
1644798598.667,-44.922,42.969,-26.855,-10.742,0.000,0
1644798598.673,-56.641,-420.410,-29.785,-25.391,0.000,0
1644798598.679,-55.176,-849.609,-36.133,-45.898,0.000,0
1644798598.685,-37.109,-558.594,-38.086,-34.180,0.000,0
1644798598.691,-26.367,24.414,-36.621,-19.531,0.000,0
1644798598.698,-40.039,100.586,-41.992,-30.762,0.000,0
1644798598.704,-63.477,-335.449,-46.875,-24.902,0.000,0
1644798598.710,-66.406,-579.102,-41.016,-38.574,0.000,0
1644798598.716,-38.574,-816.895,-39.062,-34.180,0.000,0
1644798598.713,-21.484,-779.297,-33.691,-5.859,0.000,0
1644798598.719,-22.949,-138.672,-29.297,-2.441,0.000,0
1644798598.726,-40.039,-277.832,-40.527,-9.277,0.000,0
1644798598.732,-59.570,-712.891,-42.969,-35.645,0.000,0
1644798598.738,-37.598,-526.367,-30.762,-28.809,0.000,0
1644798598.744,-16.602,-198.242,-33.203,-13.184,0.000,0
1644798598.750,-25.391,-217.285,-38.086,-10.254,0.000,0
1644798598.756,-31.738,-550.293,-31.738,-1.465,0.000,0
1644798598.762,-36.621,-691.895,-29.785,3.418,0.000,0
1644798598.768,-26.855,-264.160,-33.203,-9.766,0.000,0
1644798598.774,-17.578,137.695,-36.133,-16.602,0.000,0
1644798598.780,-21.973,212.402,-34.180,-11.230,0.000,0
1644798598.776,-31.738,-135.742,-34.180,2.441,0.000,0
1644798598.782,-32.227,-556.641,-39.062,-0.977,0.000,0
1644798598.788,-27.832,-356.445,-38.574,-19.043,0.000,0
1644798598.794,-16.602,119.141,-35.156,-14.160,0.000,0
1644798598.800,-19.043,166.504,-37.109,-14.160,0.000,0
1644798598.806,-44.434,-375.488,-38.086,-19.043,0.000,0
1644798598.812,-50.781,-952.148,-38.086,-20.508,0.000,0
1644798598.818,-40.527,-841.309,-36.133,-23.926,0.000,0
1644798598.824,-34.180,-122.070,-32.715,-23.926,0.000,0
1644798598.830,-26.855,248.047,-29.297,-7.324,0.000,0
1644798598.836,-41.504,-4.395,-29.297,-15.137,0.000,0
1644798598.842,-60.059,-482.910,-35.156,-23.926,0.000,0
1644798598.832,-46.875,-449.219,-33.691,-23.438,0.000,0
1644798598.838,-36.621,-18.066,-31.250,-27.832,0.000,0
1644798598.844,-35.156,189.941,-27.832,-20.508,0.000,0
1644798598.850,-38.574,16.602,-29.297,-16.113,0.000,0
1644798598.855,-41.504,-496.094,-35.156,-14.160,0.000,0
1644798598.861,-38.574,-778.809,-35.645,-19.043,0.000,0
1644798598.867,-25.879,-556.641,-32.715,-23.926,0.000,0
1644798598.873,-13.672,-267.090,-32.227,-15.625,0.000,0
1644798598.879,-30.273,-175.781,-34.180,-11.230,0.000,0
1644798598.885,-53.223,-576.172,-31.738,-9.766,0.000,0
1644798598.891,-47.363,-773.438,-29.785,-20.020,0.000,0
1644798598.897,-25.391,-255.859,-24.902,-20.020,0.000,0
1644798598.883,-18.555,196.289,-31.738,-13.672,0.000,0
1644798598.889,-19.043,-252.930,-39.062,-12.207,0.000,0
1644798598.894,-30.273,-1000.000,-41.992,-15.625,0.000,0
1644798598.900,-47.363,-826.660,-38.086,-44.434,0.000,0
1644798598.906,-31.250,-222.656,-33.203,-46.387,0.000,0
1644798598.912,-23.438,-101.074,-37.109,-24.902,0.000,1
1644798598.918,-34.668,-289.062,-34.668,-19.531,0.000,0
1644798598.923,-49.805,-464.355,-32.227,-27.832,0.000,0
1644798598.929,-51.758,-523.926,-32.715,-20.508,0.000,0
1644798598.935,-33.203,-181.152,-30.762,-20.996,0.000,0
