timestamps,TP9,AF7,AF8,TP10,Right AUX
1644798744.835,0.000,0.000,0.000,0.000,0.000
1644798744.839,-0.488,-1.465,-0.488,0.000,0.000
1644798744.843,-1.465,-9.766,2.441,-1.465,0.000
1644798744.846,3.906,25.391,-8.789,2.930,0.000
1644798744.850,-19.531,-145.020,27.344,-14.648,0.000
1644798744.854,-35.645,-340.820,34.668,-37.109,0.000
1644798744.858,-9.766,-99.121,-25.879,-32.227,0.000
1644798744.862,-7.812,81.055,-24.414,-15.625,0.000
1644798744.866,-30.762,-133.789,-29.297,-12.207,0.000
1644798744.870,-39.551,-347.656,-34.180,-21.973,0.000
1644798744.873,-12.207,-192.383,-25.879,-20.508,0.000
1644798744.877,-2.930,124.512,-27.344,-28.809,0.000
1644798744.881,-17.090,162.109,-31.738,-13.672,0.000,0
1644798744.885,-32.715,-62.500,-40.527,-24.414,0.000,0
1644798744.889,-45.898,-284.180,-40.527,-55.176,0.000,0
1644798744.892,-32.715,-172.852,-36.133,-52.246,0.000,0
1644798744.896,-13.184,131.348,-41.016,-35.156,0.000,0
1644798744.900,0.977,58.105,-42.969,-33.203,0.000,0
1644798744.904,-10.254,-241.699,-41.992,-18.555,0.000,0
1644798744.908,-37.109,-445.801,-42.969,-11.230,0.000,0
1644798744.912,-26.855,-222.656,-41.992,-35.156,0.000,0
1644798744.915,-2.930,193.848,-37.598,-41.016,0.000,0
1644798744.919,-9.277,327.637,-35.645,-41.992,0.000,0
1644798744.923,-21.484,-419.434,-38.086,-22.949,0.000,0
1644798744.928,-31.250,-765.137,-41.016,-23.926,0.000,0
1644798744.932,-35.156,-86.914,-40.527,-53.711,0.000,0
1644798744.936,-20.508,252.930,-38.086,-32.715,0.000,0
1644798744.940,-10.742,368.164,-35.645,2.441,0.000,0
1644798744.943,-17.090,210.938,-38.574,-8.301,0.000,0
1644798744.947,-29.297,-247.559,-41.992,-35.645,0.000,0
1644798744.951,-20.996,-442.871,-36.621,-53.223,0.000,0
1644798744.955,-5.371,-91.309,-31.738,-45.410,0.000,0
1644798744.959,-8.301,312.988,-31.250,-24.902,0.000,0
1644798744.963,-19.531,207.031,-35.156,-32.715,0.000,0
1644798744.967,-34.180,-144.531,-36.621,-37.598,0.000,0
1644798744.971,-35.645,-103.027,-32.715,-30.762,0.000,0
1644798744.979,-17.578,199.219,-28.809,-26.367,0.000,0
1644798744.983,-6.348,375.977,-22.949,-17.578,0.000,0
1644798744.987,-6.836,285.645,-21.973,-21.973,0.000,0
1644798744.991,-29.785,27.344,-27.832,-19.043,0.000,0
1644798744.995,-44.922,-202.148,-33.691,-24.902,0.000,0
1644798744.999,-35.645,-50.781,-32.227,-56.152,0.000,0
1644798745.003,-21.484,-261.230,-30.762,-35.645,0.000,0
1644798745.007,-19.531,-462.402,-28.809,-3.418,0.000,0
1644798745.011,-34.180,-24.902,-29.785,-19.531,0.000,0
1644798745.015,-25.391,-8.301,-30.273,-39.062,0.000,0
1644798745.019,-11.230,103.027,-26.367,-43.457,0.000,0
1644798745.023,-9.277,390.137,-27.832,-16.602,0.000,0
1644798745.035,-13.184,281.738,-30.273,-3.418,0.000,0
1644798745.039,-27.832,-8.301,-29.297,-4.883,0.000,0
1644798745.044,-33.691,-123.535,-35.156,-17.090,0.000,0
1644798745.048,-18.555,17.578,-44.922,-45.410,0.000,0
