timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1639024060.351,-0.488,-0.488,-0.488,-0.488,0.000,0
1639024060.355,-0.488,-0.977,-0.488,0.000,0.000,0
1639024060.359,36.133,8.301,1.465,8.789,0.000,0
1639024060.363,-124.023,-41.016,-5.859,-23.926,0.000,0
1639024060.367,470.703,130.371,20.996,111.328,0.000,0
1639024060.371,543.457,-14.648,13.184,234.863,0.000,0
1639024060.374,-813.477,-579.102,-43.457,52.734,0.000,0
1639024060.378,-1000.000,-691.406,-34.180,-48.828,0.000,0
1639024060.382,131.836,-399.414,-24.902,66.406,0.000,0
1639024060.386,-887.695,54.199,-52.734,231.934,0.000,0
1639024060.390,574.707,102.539,-67.383,238.281,0.000,0
1639024060.394,-661.621,-253.906,-53.223,88.379,0.000,0
1639024060.397,-1000.000,-571.777,-44.922,-30.762,0.000,0
1639024060.401,-38.086,-395.508,-35.645,62.012,0.000,0
1639024060.405,-928.711,72.754,-39.062,208.984,0.000,0
1639024060.409,718.750,195.312,-23.926,231.445,0.000,0
1639024060.413,-471.191,-150.391,11.719,126.953,0.000,0
1639024060.416,-1000.000,-729.980,1.953,-10.254,0.000,0
1639024060.420,-118.652,-760.742,-30.762,18.555,0.000,0
1639024060.424,-985.352,-131.836,-63.965,173.340,0.000,0
1639024060.428,815.430,247.070,-94.727,239.258,0.000,0
1639024060.432,-326.660,-20.020,-51.758,112.793,0.000,0
1639024060.436,-1000.000,-413.086,8.301,-28.809,0.000,0
1639024060.439,-390.625,-918.945,15.137,-16.602,0.000,0
1639024060.444,895.020,-588.867,0.488,111.816,0.000,0
1639024060.448,923.828,275.391,11.230,186.035,0.000,0
1639024060.452,-235.840,69.336,14.648,104.492,0.000,0
1639024060.456,-1000.000,-398.926,13.184,-9.277,0.000,0
1639024060.460,-576.172,-409.668,32.227,19.043,0.000,0
1639024060.464,687.500,-150.879,0.977,158.203,0.000,0
1639024060.468,-990.234,6.348,7.324,243.652,0.000,0
1639024060.471,-144.043,-178.711,13.672,147.461,0.000,0
1639024060.475,-1000.000,-409.180,29.297,-13.184,0.000,0
1639024060.479,-744.141,-474.609,81.543,-34.180,0.000,0
1639024060.483,444.336,-112.793,72.266,99.121,0.000,0
1639024060.487,-916.504,409.668,53.711,218.262,0.000,0
1639024060.495,-14.160,284.668,30.762,163.086,0.000,0
1639024060.499,-1000.000,-148.438,11.719,13.672,0.000,0
1639024060.503,-844.727,-280.273,6.836,1.465,0.000,0
1639024060.507,314.941,106.934,-30.762,135.254,0.000,0
1639024060.511,-919.434,413.574,-5.371,217.285,0.000,0
1639024060.515,10.742,96.680,64.453,145.020,0.000,0
1639024060.519,-1000.000,-661.133,65.918,-11.230,0.000,0
1639024060.523,-1000.000,-903.320,40.039,-56.641,0.000,0
1639024060.527,-170.898,-102.051,11.719,75.684,0.000,0
